pmid,title,authors,journal,pub_date,doi,abstract,article_type
41499749,Motor Vehicle Crash Prevention. Reply.,"Klauer Sheila G, Doerzaph Zachary R",The New England journal of medicine,2026 01,10.1056/NEJMc2513175,,Correspondence
41499748,Motor Vehicle Crash Prevention.,Bartzak Patricia J,The New England journal of medicine,2026 01,10.1056/NEJMc2513175,,Correspondence
41499747,Motor Vehicle Crash Prevention.,Czaharyn Anthony G,The New England journal of medicine,2026 01,10.1056/NEJMc2513175,,Correspondence
41499746,Motor Vehicle Crash Prevention.,"Philip Pierre, Tamisier Renaud, McNicholas Walter T",The New England journal of medicine,2026 01,10.1056/NEJMc2513175,,Correspondence
41499745,Motor Vehicle Crash Prevention.,Shah Viral N,The New England journal of medicine,2026 01,10.1056/NEJMc2513175,,Correspondence
41499744,Azithromycin for Infants in Mali to Reduce Mortality. Reply.,"Haidara Fadima Cheick, Adubra Laura, Ashorn Per",The New England journal of medicine,2026 01,10.1056/NEJMc2516391,,Correspondence
41499743,Azithromycin for Infants in Mali to Reduce Mortality.,"Chen Feng, Huang Xiu-Feng, Chu Maoping",The New England journal of medicine,2026 01,10.1056/NEJMc2516391,,Correspondence
41499742,Azithromycin for Infants in Mali to Reduce Mortality.,"Pei Junjuan, Chen Xinying",The New England journal of medicine,2026 01,10.1056/NEJMc2516391,,Correspondence
41499741,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis. Reply.,"Maitland Kathryn, Petrucci Roberta, Thomson Johanna",The New England journal of medicine,2026 01,10.1056/NEJMc2515876,,Correspondence
41499740,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis.,"Han Xiang-Yu, Qi Hui-Ru",The New England journal of medicine,2026 01,10.1056/NEJMc2515876,,Correspondence
41499739,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis.,"Pan Hui, Zheng Xiaoling, Zhang Yulong",The New England journal of medicine,2026 01,10.1056/NEJMc2515876,,Correspondence
41499738,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis.,"Heyman Samuel N, Marcus Esther-Lee, Brezis Mayer",The New England journal of medicine,2026 01,10.1056/NEJMc2515876,,Correspondence
41499737,Serogroup Switching in Neisseria meningitidis with Dual Antibiotic Resistance.,"Howie Rebecca L, Sharma Shalabh, Kyle Jennifer L, Rubis Amy B",The New England journal of medicine,2026 01,10.1056/NEJMc2507652,,Correspondence
41499733,Functional Dyspepsia.,"Pasricha Pankaj J, Talley Nicholas J",The New England journal of medicine,2026 01,10.1056/NEJMcp2501860,"Functional dyspepsia is a common but serious medical syndrome that can induce weight loss and food aversion and may be associated with increased risks of hospitalization and death. It probably comprises several different and as yet incompletely characterized disorders. Patients with local mucosal microinflammation driven by an aberrant Th2 response may represent an important subgroup. There is overlap with other gastrointestinal syndromes, particularly irritable bowel syndrome and gastroesophage...",Correspondence
41467671,More on Long-Term Outcomes of the DanGer Shock Trial. Reply.,"M&#xf8;ller Jacob E, Beske Rasmus P, Hassager Christian",The New England journal of medicine,2025 12,10.1056/NEJMc2514551,,Correspondence
41467670,More on Long-Term Outcomes of the DanGer Shock Trial.,"Ferlini Marco, Pontremoli Silvia Miette",The New England journal of medicine,2025 12,10.1056/NEJMc2514551,,Correspondence
41467669,More on Long-Term Outcomes of the DanGer Shock Trial.,"Thevathasan Tharusan, Zeymer Uwe, Thiele Holger",The New England journal of medicine,2025 12,10.1056/NEJMc2514551,,Correspondence
41467668,Monoclonal Gammopathy of Undetermined Significance. Reply.,"Rajkumar S Vincent, Kumar Shaji",The New England journal of medicine,2025 12,10.1056/NEJMc2515512,,Correspondence
41467667,Monoclonal Gammopathy of Undetermined Significance.,"Istaiti Majdolen, Landgren Ola, Zimran Ari",The New England journal of medicine,2025 12,10.1056/NEJMc2515512,,Correspondence
41467666,Monoclonal Gammopathy of Undetermined Significance.,Keren David F,The New England journal of medicine,2025 12,10.1056/NEJMc2515512,,Correspondence
41467665,Targeting APOC3 with Olezarsen in Moderate Hypertriglyceridemia. Reply.,"Bergmark Brian A, Marston Nicholas A, Sabatine Marc S",The New England journal of medicine,2025 12,10.1056/NEJMc2515639,,Correspondence
41467664,Targeting APOC3 with Olezarsen in Moderate Hypertriglyceridemia.,Tomlinson Brian,The New England journal of medicine,2025 12,10.1056/NEJMc2515639,,Correspondence
41467663,Targeting APOC3 with Olezarsen in Moderate Hypertriglyceridemia.,"Perlemuter Gabriel, Voican Cosmin",The New England journal of medicine,2025 12,10.1056/NEJMc2515639,,Correspondence
41467662,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction. Reply.,"Bavendiek Udo, Gro&#xdf;hennig Annika, Bauersachs Johann",The New England journal of medicine,2025 12,10.1056/NEJMc2515452,,Correspondence
41467661,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,Shamsulddin Ahmed B,The New England journal of medicine,2025 12,10.1056/NEJMc2515452,,Correspondence
