pmid,title,authors,author_count,journal,pub_year,pub_month,pub_day,pub_date,doi,article_type,abstract,abstract_length,keywords,keyword_count,language,publication_types,scraped_date
41499749,Motor Vehicle Crash Prevention. Reply.,"Klauer Sheila G, Doerzaph Zachary R",2,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2513175,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499748,Motor Vehicle Crash Prevention.,Bartzak Patricia J,1,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2513175,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499747,Motor Vehicle Crash Prevention.,Czaharyn Anthony G,1,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2513175,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499746,Motor Vehicle Crash Prevention.,"Philip Pierre, Tamisier Renaud, McNicholas Walter T",3,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2513175,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499745,Motor Vehicle Crash Prevention.,Shah Viral N,1,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2513175,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499744,Azithromycin for Infants in Mali to Reduce Mortality. Reply.,"Haidara Fadima Cheick, Adubra Laura, Ashorn Per",3,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2516391,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499743,Azithromycin for Infants in Mali to Reduce Mortality.,"Chen Feng, Huang Xiu-Feng, Chu Maoping",3,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2516391,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499742,Azithromycin for Infants in Mali to Reduce Mortality.,"Pei Junjuan, Chen Xinying",2,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2516391,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499741,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis. Reply.,"Maitland Kathryn, Petrucci Roberta, Thomson Johanna",3,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2515876,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499740,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis.,"Han Xiang-Yu, Qi Hui-Ru",2,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2515876,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499739,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis.,"Pan Hui, Zheng Xiaoling, Zhang Yulong",3,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2515876,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499738,Intravenous Rehydration for Severe Acute Malnutrition with Gastroenteritis.,"Heyman Samuel N, Marcus Esther-Lee, Brezis Mayer",3,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMc2515876,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41499735,Case 1-2026: A 50-Year-Old Woman with Fever and Abdominal Pain.,"Threlkeld Stephen C, Anderson Mark A, Dudzinski David M, Anahtar Melis N, Alba George A, Basgoz Nesli, Fowler Angela G, Stone James R",8,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMcpc2513324,Correspondence,,0,,0,eng,"Case Reports, Journal Article",2026-01-11 18:47:45
41499733,Functional Dyspepsia.,"Pasricha Pankaj J, Talley Nicholas J",2,The New England journal of medicine,2026,01,07,2026 01 07,10.1056/NEJMcp2501860,Correspondence,"Functional dyspepsia is a common but serious medical syndrome that can induce weight loss and food aversion and may be associated with increased risks of hospitalization and death. It probably comprises several different and as yet incompletely characterized disorders. Patients with local mucosal microinflammation driven by an aberrant Th2 response may represent an important subgroup. There is overlap with other gastrointestinal syndromes, particularly irritable bowel syndrome and gastroesophageal reflux disease, and patients with overlap have more severe symptoms. There is no approved drug for functional dyspepsia. Treatment is empirical and directed at symptoms and consists of acid suppressants and low-dose tricyclic antidepressants (and other neuromodulators) along with appropriate nutritional and psychological support.",834,,0,eng,"Journal Article, Review",2026-01-11 18:47:45
41467671,More on Long-Term Outcomes of the DanGer Shock Trial. Reply.,"M&#xf8;ller Jacob E, Beske Rasmus P, Hassager Christian",3,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2514551,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467670,More on Long-Term Outcomes of the DanGer Shock Trial.,"Ferlini Marco, Pontremoli Silvia Miette",2,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2514551,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467669,More on Long-Term Outcomes of the DanGer Shock Trial.,"Thevathasan Tharusan, Zeymer Uwe, Thiele Holger",3,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2514551,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467668,Monoclonal Gammopathy of Undetermined Significance. Reply.,"Rajkumar S Vincent, Kumar Shaji",2,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515512,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467667,Monoclonal Gammopathy of Undetermined Significance.,"Istaiti Majdolen, Landgren Ola, Zimran Ari",3,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515512,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467666,Monoclonal Gammopathy of Undetermined Significance.,Keren David F,1,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515512,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467665,Targeting APOC3 with Olezarsen in Moderate Hypertriglyceridemia. Reply.,"Bergmark Brian A, Marston Nicholas A, Sabatine Marc S",3,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515639,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467664,Targeting APOC3 with Olezarsen in Moderate Hypertriglyceridemia.,Tomlinson Brian,1,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515639,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467663,Targeting APOC3 with Olezarsen in Moderate Hypertriglyceridemia.,"Perlemuter Gabriel, Voican Cosmin",2,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515639,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467662,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction. Reply.,"Bavendiek Udo, Gro&#xdf;hennig Annika, Bauersachs Johann",3,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515452,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467661,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,Shamsulddin Ahmed B,1,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515452,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
41467660,Digitoxin in Patients with Heart Failure and Reduced Ejection Fraction.,Curtain James P,1,The New England journal of medicine,2025,12,30,2025 12 30,10.1056/NEJMc2515452,Correspondence,,0,,0,eng,"Letter, Comment",2026-01-11 18:47:45
